 ,Mean,STD,Final test accuracy
Feature 0:
 ,73.7,3.7429934544425802,70.0
Feature 1:
 ,73.7,3.287856444554719,72.0
Feature 2:
 ,73.7,6.132699242584786,79.0
Feature 3:
 ,73.7,4.980963762164909,73.0
Feature 4:
 ,73.7,5.866003750424985,74.0
Feature 5:
 ,73.7,3.348133808556642,77.0
Feature 6:
 ,73.7,4.172529209005013,77.0
Feature 7:
 ,73.7,4.1000000000000005,78.0
Feature 8:
 ,73.7,4.313930922024598,71.0
Feature 9:
 ,73.7,5.273518749374084,71.0
All features:
 ,70.9,3.014962686336267,70.0
All except 0:
 ,73.7,5.404627646748664,75.0
All except 1:
 ,73.7,2.8653097563788803,78.0
All except 2:
 ,73.7,3.4655446902326914,74.0
All except 3:
 ,73.7,3.716180835212409,78.0
All except 4:
 ,73.7,4.290687590584987,74.0
All except 5:
 ,73.7,4.920365840057018,78.0
All except 6:
 ,73.7,3.716180835212409,72.0
All except 7:
 ,73.7,4.754997371187496,77.0
All except 8:
 ,73.7,4.754997371187496,75.0
All except 9:
 ,73.7,4.196427051671457,73.0
